Price,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,#,CHEVRON,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX
Date,,,,,,,,,,,,,,,,,
2022-01-05,,,,,106.33343505859375,,,107.74285777065569,,,106.20293123473982,,,106.35083247084752,,,15487100
2022-01-06,,,,,107.23824310302734,,,108.16045853306974,,,105.82881388548174,,,107.55144959581524,,,13318500
2022-01-07,,,,,108.77816009521484,,,109.22187036127433,,,106.96852421273995,,,107.49053941408006,,,14164600
2022-01-10,,,,,108.84776306152344,,,109.35237421629844,,,107.76024245435268,,,108.8825645174768,,,12626100
2022-01-11,,,,,111.33600616455078,,,111.36210559601805,,,108.60415504266437,,,109.50027092410053,,,14609000
2022-01-12,,,,,110.7791976928711,,,111.73620783577516,,,110.03098300458001,,,111.3534051061533,,,12469200
2022-01-13,,,,,110.31808471679688,,,111.44910871793489,,,110.01357365962227,,,110.61388711351691,,,9691300
2022-01-14,,,,,112.19733428955078,,,112.40612975442806,,,110.28329399655267,,,110.28329399655267,,,13281000
2022-01-18,,,,,112.56272888183594,,,113.1021348151349,,,111.24900222658148,,,112.83243184848543,,,12905500
2022-01-19,,,,,112.15382385253906,,,113.23263575521717,,,111.83190873849051,,,113.05863512014626,,,12064300
2022-01-20,,,,,111.75360870361328,,,113.85035150336725,,,111.25769959991567,,,111.59701211710748,,,11370400
2022-01-21,,,,,110.41378784179688,,,111.7101038206589,,,109.82217640643725,,,111.15330047657176,,,13055700
2022-01-24,,,,,110.648681640625,,,111.12719329677607,,,106.87280716238251,,,108.27353404199043,,,19513700
2022-01-25,,,,,115.35548400878906,,,115.48599444841693,,,108.9869635241156,,,110.59649935173876,,,19984500
2022-01-26,,,,,115.44247436523438,,,117.19991115135706,,,114.4854510471982,,,115.62517036888002,,,17266500
2022-01-27,,,,,117.77410125732422,,,119.19223206210194,,,116.22547331884093,,,116.97368786134146,,,20654100
2022-01-28,,,,,113.63285064697266,,,114.89437186195006,,,111.42301467439272,,,113.10214007407073,,,24817800
2022-01-31,,,,,114.2592544555664,,,114.72036208170292,,,112.51922167002589,,,113.26743629882417,,,16401800
2022-02-01,,,,,117.26952362060547,,,118.09604995417253,,,113.54585389032027,,,113.82426555539526,,,16169700
